,A_count,A_dp,A_pk,A_unmet_slevels,B_count,B_dp,B_pk,B_unmet_slevels,C_count,C_dp,C_pk,C_unmet_slevels,V1,V2,V3,V4,avg_pk_delay,avg_ride_delay,denied,distance_cruising,distance_loaded,distance_rebalancing,distance_total,seats_V1,seats_V2,seats_V3,seats_V4,serviced,total_requests,total_runtime,total_seats
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE_MO_RT,127613.0,126.12,126.12,16706.0,33913.0,306.54,159.33,13.0,33979.0,418.78,193.78,0.0,0.0,0.0,0.0,1000.0,115.65,155.05,7.88%,13.80%,75.02%,11.18%,640765.0,0.0,0.0,0.0,4000.0,92.12%,212224.0,3.85,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE_MO_RT_UR,127570.0,126.07,126.07,16750.0,33929.0,305.37,159.01,12.0,33963.0,413.1,191.69,0.0,0.0,0.0,0.0,1000.0,116.31,155.82,7.90%,13.19%,72.17%,14.63%,665591.0,0.0,0.0,0.0,4000.0,92.10%,212224.0,3.50,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE_MO_UR,123269.0,125.99,125.99,21062.0,33939.0,315.81,160.94,10.0,33944.0,436.46,203.16,0.0,0.0,0.0,0.0,1000.0,115.10,154.22,9.93%,12.66%,84.04%,3.30%,549446.0,0.0,0.0,0.0,4000.0,90.07%,212224.0,3.64,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE_RT,127914.0,123.31,123.31,16332.0,33939.0,300.93,157.25,12.0,34027.0,410.24,189.78,0.0,0.0,0.0,0.0,1000.0,124.59,175.55,7.70%,5.80%,30.95%,63.25%,1559224.0,0.0,0.0,0.0,4000.0,92.30%,212224.0,9.09,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE_RT_UR,127998.0,123.13,123.13,16300.0,33960.0,301.21,156.67,8.0,33958.0,406.36,189.59,0.0,0.0,0.0,0.0,1000.0,123.98,174.19,7.68%,5.97%,31.92%,62.10%,1511251.0,0.0,0.0,0.0,4000.0,92.32%,212224.0,6.50,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-AA_RE_UR,128022.0,123.15,123.15,16304.0,33938.0,301.35,156.84,7.0,33953.0,407.32,188.85,0.0,0.0,0.0,0.0,1000.0,123.16,172.83,7.69%,6.22%,33.66%,60.12%,1434062.0,0.0,0.0,0.0,4000.0,92.31%,212224.0,8.99,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE,168698.0,125.41,125.41,43526.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,114.93,114.93,20.51%,5.54%,24.05%,70.41%,1929898.0,0.0,0.0,0.0,4000.0,79.49%,212224.0,5.40,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE_CT,168825.0,125.41,125.41,43399.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,95.35,95.35,20.45%,16.63%,73.39%,9.99%,633112.0,0.0,0.0,0.0,4000.0,79.55%,212224.0,3.02,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE_CT_MO,152658.0,128.67,128.67,59566.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,105.54,105.54,28.07%,14.23%,82.01%,3.76%,507282.0,0.0,0.0,0.0,4000.0,71.93%,212224.0,2.99,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE_CT_MO_RT,162444.0,125.74,125.74,49780.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,103.59,103.59,23.46%,15.32%,79.42%,5.26%,559340.0,0.0,0.0,0.0,4000.0,76.54%,212224.0,3.44,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE_CT_MO_RT_UR,160428.0,127.88,127.88,51796.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,105.06,105.06,24.41%,15.25%,79.55%,5.20%,552418.0,0.0,0.0,0.0,4000.0,75.59%,212224.0,3.59,4000.0
IN-rebalancingSettings_BA-30_ST-86400_MR-1000_IF-1000_MC-4_CS-A_RE_CT_MO_UR,151843.0,129.06,129.06,60381.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,1000.0,107.01,107.01,28.45%,14.23%,82.14%,3.63%,503333.0,0.0,0.0,0.0,4000.0,71.55%,212224.0,3.21,4000.0
